"","x"
"1","ABL1"
"2","PARP1"
"3","AEBP1"
"4","AES"
"5","NR0B1"
"6","AHR"
"7","ALX3"
"8","BIN1"
"9","APBB1"
"10","APBB2"
"11","APC"
"12","AIRE"
"13","APEX1"
"14","AR"
"15","PHOX2A"
"16","ARNT"
"17","ARNTL"
"18","ASCL1"
"19","ASCL2"
"20","ATBF1"
"21","ATF1"
"22","ATF3"
"23","ATF4"
"24","ATM"
"25","RERE"
"26","ATOH1"
"27","ATRX"
"28","BACH1"
"29","BAPX1"
"30","BARD1"
"31","BCL3"
"32","BCL6"
"33","PRDM1"
"34","BNC1"
"35","PCGF4"
"36","POLR3D"
"37","FOXL2"
"38","BRCA1"
"39","BRCA2"
"40","BRDT"
"41","ZFP36L1"
"42","ZFP36L2"
"43","KLF9"
"44","KLF5"
"45","BTF3"
"46","BTG1"
"47","RUNX2"
"48","RUNX1"
"49","RUNX1T1"
"50","CBFA2T3"
"51","RUNX3"
"52","CBFB"
"53","CDC5L"
"54","CDX1"
"55","CDX2"
"56","CDX4"
"57","CEBPA"
"58","CEBPB"
"59","CEBPD"
"60","CEBPE"
"61","CEBPG"
"62","CENPB"
"63","CHD1"
"64","CHD2"
"65","CHD4"
"66","CHES1"
"67","ERCC8"
"68","KLF6"
"69","CRABP2"
"70","CREB1"
"71","ATF2"
"72","CREBBP"
"73","CREBL1"
"74","CREBL2"
"75","CREM"
"76","CRX"
"77","CRY1"
"78","CSRP2"
"79","NKX2-5"
"80","CTBP1"
"81","CTNNB1"
"82","CUTL1"
"83","DAB2"
"84","DACH1"
"85","DAXX"
"86","DBP"
"87","DDB1"
"88","DDB2"
"89","DDIT3"
"90","DDX5"
"91","DLX1"
"92","DLX2"
"93","DLX3"
"94","DLX4"
"95","DLX5"
"96","DLX6"
"97","DMRT1"
"98","DNMT1"
"99","DNMT3A"
"100","DR1"
"101","ARID3A"
"102","TSC22D3"
"103","DTX1"
"104","E2F1"
"105","E2F2"
"106","E2F3"
"107","E2F4"
"108","E2F5"
"109","E2F6"
"110","E4F1"
"111","EBF"
"112","EEF1A1"
"113","EGR1"
"114","EGR2"
"115","EGR3"
"116","EGR4"
"117","ELAVL2"
"118","ELF1"
"119","ELF2"
"120","ELF3"
"121","ELF4"
"122","ELF5"
"123","ELK1"
"124","ELK3"
"125","ELK4"
"126","EMX1"
"127","EMX2"
"128","EN1"
"129","EN2"
"130","ENO1"
"131","EP300"
"132","EPAS1"
"133","NR2F6"
"134","ERCC2"
"135","EYA4"
"136","ERCC3"
"137","ERCC6"
"138","ERF"
"139","ERG"
"140","ESR1"
"141","ESR2"
"142","ESRRA"
"143","ESRRB"
"144","ESRRG"
"145","ETS1"
"146","ETS2"
"147","ETV1"
"148","ETV2"
"149","ETV3"
"150","ETV4"
"151","ETV5"
"152","ETV6"
"153","EVI1"
"154","EVX1"
"155","EWSR1"
"156","EYA2"
"157","EYA3"
"158","EZH1"
"159","EZH2"
"160","FALZ"
"161","FHL2"
"162","FOXG1B"
"163","FOXG1A"
"164","FOXG1C"
"165","FOXF1"
"166","FOXF2"
"167","FOXC1"
"168","FOXD1"
"169","FOXD4"
"170","FOXI1"
"171","FOXL1"
"172","FOXE3"
"173","FOXJ1"
"174","FOXC2"
"175","FOXE1"
"176","FOXM1"
"177","FOXD2"
"178","FKHL18"
"179","FOXO1A"
"180","FOXO3A"
"181","FLI1"
"182","FMR1"
"183","FOS"
"184","FOSB"
"185","FOSL2"
"186","NR5A2"
"187","NR5A1"
"188","FUS"
"189","XRCC6"
"190","GABPA"
"191","GABPB2"
"192","GATA1"
"193","GATA2"
"194","GATA3"
"195","GATA4"
"196","GATA6"
"197","GBX2"
"198","GFI1"
"199","GLI1"
